YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M,QV2M,RH2M,PRECTOTCORR
2002,1,1,97,2.59,4.43,1.17,3.26,262.06,3.57,4.96,2.07,2.88,261.12,17.15,88.5,7.41
2002,1,2,97.02,2.45,4.88,1.18,3.7,252.81,3.39,5.38,1.76,3.62,251.5,17.21,87.31,3.05
2002,1,3,97,2.93,4.98,1.38,3.59,293.12,3.95,5.39,2.26,3.13,292.56,17.03,85.38,0.69
2002,1,4,96.94,3.09,5.12,1.62,3.51,323.75,4.06,5.5,2.62,2.89,323.06,16.97,85.75,4
2002,1,5,96.88,3.34,5.67,0.85,4.83,326.44,4.48,6.22,1.27,4.95,311.06,16.78,84.31,3.13
2002,1,6,96.87,2.53,4.85,0.81,4.04,292,3.2,5.5,1.23,4.27,291.44,16.97,84.12,4.16
2002,1,7,96.93,2.61,5.77,0.34,5.44,253.69,3.5,6.73,0.45,6.28,254.19,17.09,89.12,2.26
2002,1,8,96.92,2.08,3.21,1.32,1.89,239.94,3.03,4.32,2.11,2.21,238.25,16.24,85.06,9.6
2002,1,9,96.88,2.1,4.21,0.84,3.36,255.31,2.85,4.81,1.44,3.38,253.56,17.09,88.62,16.68
2002,1,10,96.9,1.81,3.34,0.38,2.97,231.19,2.61,3.79,0.45,3.34,229.38,17.52,90.5,23.77
2002,1,11,96.81,2.52,3.63,1.64,1.99,238.56,3.62,4.42,2.71,1.71,237.44,17.52,88.69,3.96
2002,1,12,96.67,1.71,3.55,0.16,3.38,207.25,2.41,4.16,0.25,3.91,207.88,17.76,84.31,1.53
2002,1,13,96.55,2.23,4.23,0.41,3.82,231.5,2.94,4.74,0.66,4.09,232.81,18.49,88.06,12.57
2002,1,14,96.59,2.78,5.79,0.34,5.45,279.69,3.88,6.92,0.7,6.23,280.25,18.25,92.62,25.24
2002,1,15,96.72,1.65,3.2,0.63,2.58,232.31,2.06,3.31,0.91,2.41,231.06,17.7,84.81,10.16
2002,1,16,96.7,1.37,2.7,0.41,2.28,247.88,1.85,3.18,0.71,2.47,259,17.94,86.44,3.53
2002,1,17,96.53,2.11,3.62,0.85,2.76,244.56,2.9,4.06,1.45,2.61,242,18.62,92.44,8.86
2002,1,18,96.53,3.3,5.89,1.3,4.59,343.5,4.49,6.98,1.88,5.1,342.31,18.49,94.56,17.05
2002,1,19,96.63,2.18,3.76,1.27,2.48,337.94,3.07,4.24,1.59,2.65,337.31,18.25,90.81,8.79
2002,1,20,96.65,1.72,2.85,0.76,2.09,285.31,2.43,3.41,1.13,2.28,283.12,18.37,88.94,9.69
2002,1,21,96.63,2.38,4.34,1.24,3.09,299.62,3.43,5.09,1.91,3.16,299.12,18.37,93.06,9.63
2002,1,22,96.71,2.35,4.98,0.68,4.3,294.06,3.27,5.82,1,4.82,293.75,17.58,90.44,15.87
2002,1,23,96.76,2.95,4.51,1.79,2.73,290.75,4.4,5.2,3.52,1.69,290.25,17.58,90.75,10.53
2002,1,24,96.66,2.45,3.14,1.96,1.17,266.75,3.64,4.23,2.59,1.64,265.31,17.46,90.38,7.03
2002,1,25,96.63,2.66,3.73,1.78,1.95,258.06,4.04,4.87,3.55,1.32,257.12,17.82,91.38,12.8
2002,1,26,96.58,2.41,3.67,1.28,2.39,237.75,3.5,4.58,2.01,2.57,237.12,18.25,91.5,4.27
2002,1,27,96.63,4.02,6.54,2.02,4.52,109.81,5.71,7.76,4.09,3.67,109.38,18.68,93.56,34.56
2002,1,28,96.72,3.6,5.6,2.38,3.23,270.75,5.23,6.67,4.15,2.52,256.44,18.19,94.31,26.78
